===== scMIGRA-v1 training started at Wed Mar 18 15:24:39 CST 2026 =====
[MIGRA_CONFIG] random_seed=20260318
[MIGRA_CONFIG] modality_key=modality, batch_key=batch
[MIGRA_CONFIG] input_layer=counts
[MIGRA_CONFIG] detected label key 'cell_type', but scMIGRA training keeps it out of the model to remain label-free.
[MIGRA_CONFIG] hidden_layers= [256, 128]
[MIGRA_CONFIG] latent_shared=20, latent_specific=16, latent_tech=8, num_programs=32, dropout=0.2
[MIGRA_CONFIG] beta_mod=1.0, beta_tech=1.0, lambda_program=1.0, lambda_transport=0.8, lambda_cycle=0.4, lambda_batch_ind=0.1
[MIGRA_CONFIG] anchor_topk=2, local_k=6, score_quantile=0.75, max_anchors=24, temp=0.2, profile_w=0.5, graph_w=0.5, cross_batch_bonus=0.05
[MIGRA_CONFIG] epoch_num=100, batch_size=128, lr=0.001, adaptlr=True, warmup_epochs=10, early_stopping=False, valid_prop=0.0, distribution=ZINB
using cuda
Training start!
epoch 1: loss=3560.4543, recon=3550.5850, kl_mod=4.5621, kl_tech=5.0323, program=0.2748, transport=0.0779, cycle=0.0041, batch_ind=0.0071, anchor_cov=0.025
epoch 2: loss=3442.6391, recon=3433.6382, kl_mod=3.6214, kl_tech=5.1044, program=0.2746, transport=0.0620, cycle=0.0053, batch_ind=0.0074, anchor_cov=0.023
epoch 3: loss=3417.9584, recon=3409.8155, kl_mod=2.7902, kl_tech=5.0695, program=0.2813, transport=0.0602, cycle=0.0029, batch_ind=0.0070, anchor_cov=0.022
epoch 4: loss=3401.2295, recon=3393.3954, kl_mod=2.5004, kl_tech=5.0338, program=0.2963, transport=0.0498, cycle=0.0024, batch_ind=0.0067, anchor_cov=0.021
epoch 5: loss=3391.4501, recon=3383.7019, kl_mod=2.4572, kl_tech=4.9829, program=0.3023, transport=0.0441, cycle=0.0019, batch_ind=0.0066, anchor_cov=0.021
epoch 6: loss=3383.5719, recon=3375.7318, kl_mod=2.5614, kl_tech=4.9589, program=0.3116, transport=0.0395, cycle=0.0015, batch_ind=0.0065, anchor_cov=0.025
epoch 7: loss=3376.8036, recon=3368.9566, kl_mod=2.6223, kl_tech=4.8979, program=0.3160, transport=0.0359, cycle=0.0016, batch_ind=0.0067, anchor_cov=0.026
epoch 8: loss=3372.8081, recon=3364.9065, kl_mod=2.6891, kl_tech=4.8804, program=0.3198, transport=0.0301, cycle=0.0014, batch_ind=0.0068, anchor_cov=0.028
epoch 9: loss=3368.4325, recon=3360.5146, kl_mod=2.7453, kl_tech=4.8335, program=0.3244, transport=0.0272, cycle=0.0011, batch_ind=0.0067, anchor_cov=0.030
epoch 10: loss=3364.7385, recon=3356.8084, kl_mod=2.8193, kl_tech=4.7634, program=0.3299, transport=0.0255, cycle=0.0011, batch_ind=0.0069, anchor_cov=0.030
epoch 11: loss=3362.3114, recon=3354.3739, kl_mod=2.8616, kl_tech=4.7223, program=0.3331, transport=0.0241, cycle=0.0011, batch_ind=0.0067, anchor_cov=0.031
